SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma
013802.07+012424.4,4275-55501-0394,24.50863,1.4068,2.53,18.307541988304106,0.08401227974084138
003209.70+174451.8,7588-56903-0458,8.0404204,17.747742,0.9092675,0,0
020718.29+015405.4,7833-57286-0278,31.826213,1.901524,1.4326464,20.27462288157895,0.332243399703698
021259.53+051645.1,4401-55510-0060,33.248065,5.2792118,1.509,19.071180889807177,0.19485816081248794
013803.26+231548.5,7687-57007-0148,24.5136,23.263484,1.5991021,20.194901000000005,0.319620702625219
002842.72+272702.0,7693-57361-0266,7.178038,27.45057,1.0253077,20.041726280172412,0.25629559671393404
005038.30+224143.9,7617-56949-0976,12.659624,22.69555,1.6562599,19.938614331877726,0.31401854235528137
004306.31-032524.2,7869-57012-0168,10.776332,-3.423399,1.2878122,20.113574148760325,0.4134824067255213
005757.32+141900.0,5704-56187-0256,14.488862,14.31669,2.147,18.82529940070922,0.2758780645554607
003547.07-031018.6,7904-57358-0700,8.9461361,-3.1718475,0.9130091,20.134356238636375,0.29239586901483966
002114.54+244849.5,7662-57358-0251,5.3105959,24.813767,1.3781459,0,0
002115.13+222642.1,7591-56954-0726,5.3130475,22.445054,1.4265316,19.635948482213436,0.3024648486014404
001720.18+324141.0,7129-56569-0814,4.3341228,32.694727,2.397,19.157430322807013,0.20996561604190828
000939.01+225730.7,7665-57328-0058,2.4125595,22.958543,0.8660504,20.030872200000005,0.3234882275481639
015051.71-040050.9,7893-57286-0034,27.715466,-4.0141468,0.9200911,19.959951093959724,0.34487785118631753
000129.04+253544.8,6513-56543-0903,0.37100646,25.595778,2.176,20.37198662857143,0.36516593454736523
024114.26-034423.8,7880-57336-0836,40.309445,-3.73997,1.93,20.466902869565217,0.09376219903592029
022008.74-045905.5,6369-56217-0417,35.036438,-4.9848607,1.652,20.070701589473686,0.3426997152429953
000941.07-002039.9,7863-56975-0664,2.4211303,-0.34443487,1.2429692,20.401572908396947,0.18554598654057886
002848.02+195019.4,7589-56946-0342,7.2001206,19.838741,0.9086048,20.448260895833332,0.20182767443708255
002510.63+185805.2,7590-56944-0726,6.2943061,18.968116,0.9909286,19.720178584229405,0.2826143186400857
015055.43+001543.6,0700-52199-0400,27.730996,0.26211183,1.0366,19.358892748275856,0.2197311958419477
000131.66-050749.7,7034-56564-0266,0.38191898,-5.1304985,2.263,19.695954214285724,0.2714266760976099
003935.51+045036.6,4303-55508-0910,9.8979735,4.8435031,2.25,18.892419845188282,0.17086173673519464
000943.95+021808.6,4298-55511-0646,2.4331426,2.302403,2.36,19.618375658682627,0.07073371652878539
021315.21+003856.5,1073-52649-0418,33.313408,0.64903576,1.4538,20.198747678321674,0.29896987110790285
003553.55+241535.2,7672-57339-0473,8.9731585,24.259798,1.4413661,18.104528465631944,0.6777345091529992
010136.01+265727.4,7677-57363-0324,15.40006,26.957631,1.5239644,0,0
011332.45+020934.1,7859-57282-0969,18.385232,2.1594978,2.201,19.713041021390385,0.3413530613514826
004315.10+011053.2,0691-52199-0367,10.812948,1.1814739,1.921,19.566094773809535,0.28967775658421785
003556.61-022852.9,4368-55559-0136,8.9859022,-2.4813736,1.365,19.899443205776155,0.608961898531532
011737.53+212222.7,7630-57006-0941,19.406416,21.372997,1.3927882,20.634520212121213,0
002125.09-022603.6,4367-55566-0476,5.3545618,-2.4343489,0.815,19.756669586206897,0.24428082734343012
011335.68+243947.0,7681-57042-0633,18.398671,24.663063,1.3215321,19.997155348837207,0.5195142092357684
025601.15+015344.5,7819-57280-0160,44.004799,1.8957214,1.7268394,20.2290773539823,0.3063816270571567
024818.26-082716.2,0456-51910-0068,42.076115,-8.4545177,1.6399,18.960354122994648,0.24909409810264668
014645.49-043219.8,7893-57286-0203,26.689557,-4.5388408,0.9677153,19.328141521072798,0.19594817926668057
003600.52+001912.9,4221-55443-0857,9.0021941,0.32025187,1.093,20.410688759259262,0.29153844122637285
004319.69-012746.4,7869-57012-0845,10.83207,-1.4628942,0.9244115,20.292231139240503,0.5358794268867801
015105.54-101216.4,7183-56658-0090,27.773096,-10.204574,1.609,19.895472694805203,0.3514553036443176
010535.69+023955.7,7859-57282-0558,16.398738,2.6654994,1.8058652,19.869049187499982,0.489535153339333
010143.00+231703.0,7678-57282-0338,15.429168,23.284173,1.342768,20.242846857142855,0.46323693721339726
000542.40+055151.9,8740-57367-0960,1.4266709,5.8644416,2.0285048,20.172745961538457,0.27606320479378166
003227.65+005415.8,0392-51793-0321,8.1152336,0.90438423,1.6295,19.48659321301776,1.000496619445266
005054.92+175542.1,7618-56898-0066,12.728866,17.928366,1.2092638,20.45636885106382,0.27801770477557575
023355.14+000718.3,6781-56274-0652,38.479757,0.1217968,1.76,19.906173654545462,0.33322288730744554
000143.86+283324.8,7135-56564-0506,0.4327692,28.556911,2.32,20.043808101562504,0.3038848119518928
023357.72+033443.9,4260-55478-0420,38.490527,3.5788719,2.43,18.07792537724551,0.18678656740200236
005056.01+150046.7,0419-51879-0625,12.733396,15.012977,1.3714,19.98222046192894,0.4131799709012596
00000-00000,7235-56603-0053,38.487799,-5.6315153,2.071,19.34188967647058,0.4975588863115078
003948.16-003815.6,7869-57012-0622,9.9507048,-0.63766687,1.4821693,20.2359411796875,0.5749277607353587
013416.22-095410.7,2878-54465-0026,23.567561,-9.903027,1.303,19.581107688461536,0.2550090565506001
003605.52+274526.3,7671-57360-0578,9.0230314,27.757326,0.909006,19.35978736513157,0.18122575799312893
013013.27+145317.8,0425-51898-0465,22.555329,14.8883,1.2171,19.050741403954806,0.43843423195835113
004325.55-033151.4,7906-57333-0524,10.856471,-3.5309571,1.2262067,20.508005447368422,0.34799135839801454
013416.98+190651.1,7628-56978-0272,23.570761,19.114211,1.1634401,20.028493620833334,0.2779140470893326
004714.70-001201.5,7870-57016-0193,11.811255,-0.20042574,1.3361845,20.60080943055555,0.46690991765134854
020747.70+224630.9,7636-56989-0066,31.948785,22.775253,1.195375,20.297174590000004,0.35455828968652503
010149.75+291911.8,6256-56323-0750,15.457309,29.319959,2.465,19.995193637362636,0.3362872882506556
002527.07-110459.5,1913-53321-0088,6.362829,-11.083214,1.2425,0,0
013829.03+151652.9,5137-55833-0022,24.620999,15.281367,0.83,19.685035775933624,0.33468093654675873
022735.56+045841.7,8731-57416-0552,36.898207,4.9782565,2.0318763,20.51112428571429,0.43557432925041295
011348.43-032855.8,7914-57331-0563,18.451824,-3.4821739,1.1747109,20.445087199999996,0.21162124279265987
021337.50+023511.9,4269-55502-0994,33.40627,2.5866653,1.037,19.33847694752188,0.2561238834587169
010542.90+223847.1,7625-57011-0648,16.428774,22.646422,1.2424821,20.317038626865685,0.23268652002095713
004328.06+244901.2,7672-57339-0888,10.866958,24.817004,0.9017557,19.6071659150327,0.3029462409291644
022045.29+011252.8,1072-52643-0372,35.188735,1.2146715,1.6549,18.865603907643326,0.16627946332795115
015514.95-042930.9,7892-57333-0136,28.812296,-4.4919304,0.8913929,20.038798733944958,0.3780285783631422
015116.47+062906.2,4403-55536-0766,27.818628,6.4850549,2.235,20.443868688888887,0.12350705659419552
015516.07-021325.0,7841-56960-0400,28.816975,-2.2236338,1.2586409,19.456708850364947,0.16774727415958773
015919.19-021051.6,7841-56960-0195,29.829967,-2.1810174,0.8860383,20.371338076923077,0.22628450284234303
