N,SDSS_NAME,RA,DEC,MagAve,Sigma
343,223521.91+195339.7,338.8413,19.894379,19.395661828282837,0.3409913900487322
344,015545.83+003524.2,28.940982,0.590076,20.222938000000003,0.4252926214737145
346,110440.72+602822.4,166.16966,60.472994,20.11157,0.3216362435073528
351,131134.38+592010.6,197.89323,59.336361,20.22524025000001,0.3793833955058016
355,231531.63+051156.7,348.88181,5.199103,19.41406208359134,0.3226956493901008
359,125947.30+480241.0,194.94711,48.044725,19.830693756410263,0.3469825597671466
362,123725.21+475700.1,189.35504,47.950035,20.52384719444445,0.355258685560944
367,123016.87+392844.5,187.57029,39.479042,20.10097717821782,0.3478703149142916
373,092736.82+120757.0,141.90342,12.132511,17.69535468760906,0.0464494555433154
378,120754.74+370829.9,181.97809,37.141662,19.023481089285717,0.3576232570683842
381,022134.31-043025.6,35.392993,-4.507112,20.05704815625,0.4341481725669167
385,095022.36+562349.1,147.59318,56.396977,19.575840210191068,0.3485415431710324
388,232856.63+220316.1,352.236,22.054496,19.103851469841285,0.2129769726965317
395,111101.00+463032.1,167.75417,46.508932,19.91485717391304,0.4765097555250235
396,011525.21+050929.5,18.85508,5.158198,18.171152217289723,0.13246784155995
398,164705.67+503358.9,251.77365,50.566375,18.63497115283843,0.1800611605165861
404,013836.26+291625.6,24.651098,29.2738,0.0,0.0
405,015049.53+011849.7,27.70641,1.313808,19.592860288194416,0.3028877457268616
412,083926.50+564228.0,129.86042,56.70779,19.00590518666667,0.2007920451002562
413,083523.56+384313.2,128.84817,38.72034,0.0,0.0
420,111729.57+214513.9,169.37322,21.753862,19.10430679999999,0.2203662745613448
424,104941.24+522455.0,162.42187,52.415278,20.10714542148761,0.2617525076915075
426,090159.75+284355.4,135.49896,28.732082,20.34914302298851,0.4792553549733013
430,073906.41+255504.4,114.77671,25.91789,19.86468766826924,0.4369952890672959
431,122507.46+281135.5,186.28111,28.193213,19.99978508270676,0.5233351567722324
434,105355.18+413251.9,163.47994,41.547753,19.4533897518797,0.2581078730787542
437,160536.73+081329.4,241.40307,8.224859,17.571129816042777,0.654026491915992
439,091028.76+481931.8,137.61987,48.325513,20.106552895161293,0.3260567501111177
441,080000.15+420206.3,120.00063,42.035107,19.74336746942146,0.3411278251721327
447,005335.48+221537.3,13.397866,22.260367,18.208667159493668,0.0956219551185896
449,105730.37+490125.5,164.37657,49.023767,19.215010139534883,0.2881927034070053
453,103243.95+472912.0,158.18313,47.486676,19.117243464601767,0.4477675244776426
455,005925.21+225725.0,14.855057,22.956972,20.119411937500004,0.3353539271170035
457,085704.09+075819.8,134.26705,7.972187,17.53398247570332,0.0369513575776029
459,103925.50+552257.2,159.85625,55.382591,19.16328484375,0.2233273368199738
460,120146.42+195800.2,180.44345,19.966736,0.0,0.0
461,091808.15+435930.3,139.53398,43.991766,20.19495554375,0.291201980868392
463,140533.78+312717.5,211.39078,31.45487,0.0,0.0
469,160834.05+130201.0,242.1419,13.033622,18.701577053619317,0.1163046084329439
473,224513.36+183220.4,341.3057,18.539013,19.60725350458716,0.3033193946061275
478,014645.25-001236.4,26.688557,-0.210137,0.0,0.0
479,163656.84+364340.4,249.23686,36.72791,0.0,0.0
484,005803.35+302950.9,14.513978,30.497488,20.248856587719303,0.306388121888335
485,153731.01+335836.7,234.37924,33.976881,17.72620818442623,0.1852172822721499
487,153804.81+204749.6,234.52008,20.797127,20.042997427835054,0.2856317054759573
495,015737.47+092819.0,29.406142,9.471947,18.88096790925268,0.4821938207323918
497,005957.33+354035.2,14.988887,35.676446,0.0,0.0
501,011100.99+243005.4,17.754143,24.501513,17.601906088319087,0.0
505,022726.14+010909.0,36.858925,1.152511,18.632670454545465,0.1307421724871482
507,121947.90+455048.0,184.9496,45.846674,20.21994071311476,0.2780820381439073
508,220143.39+230556.7,330.43082,23.099097,18.97456653703703,0.2475630257864665
510,083342.37+444435.0,128.42655,44.743078,19.216613475460125,0.2524986276739807
518,234400.14+321748.6,356.00061,32.296858,18.953421426710083,0.1951292672888981
523,081737.27+314707.3,124.40531,31.785375,17.82756034160758,0.1771482859909103
527,235139.29+174750.4,357.91373,17.797361,19.29508511724138,0.2579649400042706
532,080000.95+122430.7,120.00399,12.408556,18.298011794303797,0.4012701734488121
533,014005.12+024700.2,25.021372,2.783406,18.059144824104227,0.1355794177261833
537,231201.83+260550.2,348.00763,26.097304,19.081152101307197,0.2774334729361766
539,223255.46-004622.8,338.2311,-0.773002,19.48731283393504,0.3237534067071365
546,013308.77+065210.1,23.286576,6.869491,20.389575146341475,0.3403471361914466
548,001501.80-073417.7,3.757513,-7.571601,19.99684604310345,0.3824888082360678
550,014238.22+002905.5,25.659271,0.484875,19.52128273867594,0.312445541782122
553,124900.56+424720.1,192.25237,42.788944,20.155611659574465,0.2356797437918213
562,160202.64+214459.2,240.51103,21.749807,19.42412729117649,0.3062017860203145
564,012924.36+251236.9,22.35153,25.210277,0.0,0.0
565,124044.68+330349.8,190.18619,33.063846,17.305490035483867,0.0779732477284783
567,233026.76+320407.5,352.61154,32.068761,0.0,0.0
572,143255.27+151703.0,218.23031,15.284182,18.06285725065963,0.14141065963461
578,164108.19+302322.2,250.28415,30.38951,0.0,0.0
581,110303.52+115816.6,165.7647,11.971272,18.83014508866995,0.3587465076732928
584,121835.58+424749.4,184.64827,42.79706,19.8401854507772,0.2387705121559026
585,115904.38+422617.1,179.76825,42.438099,0.0,0.0
588,162806.68+434029.7,247.02786,43.674945,17.65883007117439,0.0877967665293534
589,163624.48+494446.0,249.10202,49.746125,18.67213596636771,0.0582733071412783
